w,,,,,,,,,,,,
,Roster,,,,,,,,,Returning Rankers,,
,,,,,,,,,,,,
,,S,,,,,,,,,,
,Rank,Company,Position,Name,Discord ID,Roblox Profile Link,Points,Missing?,,Username,Disc ID,
,,,,,,,,,,,,
,D1. General de Brigade,"Grenadiers de Amiens ""Leipzig""",CO de Compagnie,dullqd,<@509535779471491092>,https://www.roblox.com/users/125151244/profile,107,FALSE,,LaDeuxiemeIsTheBest,<@913379175094714371>,    WHEN ADDING RANKERS BACK
,C6. Colonel,"1er Voltigeurs ""Austerlitz""",CO de Bataillon,Vurellis,<@483170600710307862>,https://www.roblox.com/users/117333946/profile,143,FALSE,,Playe172957,<@961232571256164383>,    CHECK DISCORD FOR THEIR RANK
,C5. Major,"4eme Fusiliers ""Borodino""",CO de Bataillon,JustintheGreat2006,<@488282646179217409>,https://www.roblox.com/users/367498484/profile,73,FALSE,,FootImage,<@973230991193825280>,
,C4. Chef de Bataillon,"1er Fusiliers ""Les Terribles""",CO de Bataillon,kjvif,<@443259152375218177>,https://www.roblox.com/users/149805509/profile,203,FALSE,,altMrnice_guy,<@1470680468570640415>,
,C3. Capitaine,"3eme Fusiliers ""Rivoli""",CO de Bataillon,neenanz,<@869546095758438400>,https://www.roblox.com/users/1792994757/profile,199,FALSE,,furryAC130,<@1477565795255976086>,
,C2. Lieutenant,Depot de Montbéliard,Veteran,powerwizardy,<@992789193212317726>,https://www.roblox.com/users/394140236/profile,311,FALSE,     BEFORE YOU CLICK AUTOSORT,grandmaster_02,<@924914148419203092>,
,C2. Lieutenant,Mercs,Merc,VIC20091222,<@713082076139749509>,https://www.roblox.com/users/299935714/profile,0,FALSE,     CHECK:,mentallyinclined,<@1267126244915544125>,
,C1. Sous-Lieutenant ,"Grenadiers de Amiens ""Leipzig""",XO de Compagnie,hauntedbydwell,<@984246988990210170>,https://www.roblox.com/users/4093904321/profile,52,FALSE,"      - DOES ROW 4 HAVE ""Rank | Company | Name | Disc ID | Points""",ELITEFLAGSELLER,<@1464856882350133433>,
,C1. Sous-Lieutenant ,"1er Voltigeurs ""Austerlitz""",Etat Major,Nevu106,<@774863375825502271>,https://www.roblox.com/users/1177670670/profile,375,FALSE,,suummertag3,<@870761258914316328>,
,C1. Sous-Lieutenant ,"3eme Fusiliers ""Rivoli""",CO de Compagnie,Puppywad2,<@989054717629976658>,https://www.roblox.com/users/2337225314/profile,451,FALSE,     IF NOT:,75_mes,<@885356367173545985>,
,B4. Adjutant-Sous Officer,"Grenadiers de Amiens ""Leipzig""",Etat Major,SHADOW_FAX,<@522714733342752779>,https://www.roblox.com/users/119575853/profile,120,FALSE,     - CONTACT ADMIN SUPERVISOR,Edward_Ashmore,<@1043385227919245323>,
,B4. Adjutant-Sous Officer,,Veteran,LaDeuxiemeIsTheBest,<@913379175094714371>,https://www.roblox.com/users/4435375104/profile,140,TRUE,,wowzers23000,<@963684035522093076>,
,B4. Adjutant-Sous Officer,"1er Voltigeurs ""Austerlitz""",Merc,Lord_Xibe,<@746422802344575087>,https://www.roblox.com/users/8195044888/profile,32,FALSE,,Han_Krick,<@413883065107218432>,
,C1. Sous-Lieutenant ,"2eme Voltigeurs ""Arcole""",XO de Compagnie,xQcLuxi,<@668417341331079179>,https://www.roblox.com/users/2958536651/profile,267,FALSE,,OokFireworks,<@1291983550119415850>,
,B1. Sergent,"3eme Fusiliers ""Rivoli""",Etat Major,PolishKosmos,<@1380194841765347399>,https://www.roblox.com/users/3934176443/profile,48,FALSE,,ProtectionUnit_427,<@1343123371608637510>,
,C1. Sous-Lieutenant ,"4eme Fusiliers ""Borodino""",CO de Compagnie,fadedstoriess,<@723381586128535593>,https://www.roblox.com/users/362640757/profile,98,FALSE,,indofaiz2097,<@742320637527457832>,
,B4. Adjutant-Sous Officer,"4eme Fusiliers ""Borodino""",Full Ranker,UnfinishedGalaxies,<@442742088896086016>,https://www.roblox.com/users/97144571/profile,17,FALSE,,Brad_bruhh,<@1238850540125814877>,
,B3. Adjutant,"Grenadiers de Amiens ""Leipzig""",Pendantif d'Elite,Alynum,<@478475197708632065>,https://www.roblox.com/users/277639335/profile,345,FALSE,,,,
,B3. Adjutant,"Grenadiers de Amiens ""Leipzig""",Pendantif d'Elite,Aspectsious,<@815437646527594527>,https://www.roblox.com/users/1192052175/profile,287,FALSE,,,,
,B3. Adjutant,"1er Voltigeurs ""Austerlitz""",XO de Compagnie,VannBoyo,<@651782235157954582>,https://www.roblox.com/users/1636041872/profile,156,FALSE,,,,
,B3. Adjutant,"1er Voltigeurs ""Austerlitz""",Merc,krysteq_25,<@1472702940790915228>,https://www.roblox.com/users/1177892275/profile,3,FALSE,,,,
,B4. Adjutant-Sous Officer,"2eme Voltigeurs ""Arcole""",Etat Major,1Tanyaaaaa,<@720559732175142932>,https://www.roblox.com/users/983271524/profile,326,FALSE,,,,
,B3. Adjutant,"2eme Voltigeurs ""Arcole""",Etat Major,Xxice_armyxX,<@1398296085453340693>,https://www.roblox.com/users/1498054336/profile,202,FALSE,,,,
,B4. Adjutant-Sous Officer,"2eme Voltigeurs ""Arcole""",CO de Compagnie,cuhrabs,<@709198698470703135>,https://www.roblox.com/users/486972442/profile,102,FALSE,,,,
,B3. Adjutant,"1er Fusiliers ""Les Terribles""",CO de Compagnie,Axzlat,<@1219897530985480243>,https://www.roblox.com/users/1470846766/profile,186,FALSE,,,,
,B3. Adjutant,"1er Fusiliers ""Les Terribles""",XO de Compagnie,ahkdedn,<@1110137798612230164>,https://www.roblox.com/users/3486711327/profile,474,FALSE,,,,
,B3. Adjutant,"3eme Fusiliers ""Rivoli""",XO de Compagnie,Hydrabailen,<@844940705033355294>,https://www.roblox.com/users/8353818590/profile,247,FALSE,,,,
,B3. Adjutant,not found,Full Ranker,MigoBoyo,<@1265984703987716157>,https://www.roblox.com/users/4129177342/profile,49,TRUE,,,,
,B3. Adjutant,"4eme Fusiliers ""Borodino""",XO de Compagnie,S_Cormac,<@1115537442603274273>,https://www.roblox.com/users/9747812199/profile,145,FALSE,,,,
,B3. Adjutant,Mercs,Merc,Solnicus,<@1003740434402656257>,https://www.roblox.com/users/1802535909/profile,5,FALSE,,,,
,B2. Sergent Major,"Grenadiers de Amiens ""Leipzig""",Pendantif d'Elite,johnnybarrett,<@691923335633960992>,https://www.roblox.com/users/1128557001/profile,314,FALSE,,,,
